org_name,reported_date,breach_date,end_breach_date,incident_details,information_affected,organization_type,total_affected,Map,TYPE,CIK CODE,SIC CODE,NAICS CODE,nvd_vendor,total_cves,cves_1yr_before,cves_2yr_before,cves_5yr_before,stock_price_at_breach,return_5d_pct,return_30d_pct,has_stock_data,fcc_category,fcc_reportable,car_5d,car_30d,bhar_5d,bhar_30d,has_crsp_data,firm_size_log,roa,leverage,sales_q,assets,disclosure_delay_days,immediate_disclosure,delayed_disclosure,return_volatility_pre,return_volatility_post,volume_volatility_pre,volume_volatility_post,volatility_change,has_complete_data,large_firm,breach_severity,prior_breaches_total,prior_breaches_1yr,prior_breaches_3yr,prior_breaches_5yr,days_since_last_breach,is_repeat_offender,is_first_breach,pii_breach,health_breach,financial_breach,ip_breach,ransomware,nation_state,insider_threat,ddos_attack,phishing,malware,severity_score,records_severity,records_affected_numeric,combined_severity_score,high_severity_breach,num_breach_types,complex_breach,CIK,has_executive_change,num_8k_502,days_to_first_change,has_cio_change,has_ceo_change,breach_year,has_ftc_action,ftc_settlement_amount,ftc_case_year,has_fcc_action,fcc_fine_amount,fcc_case_year,has_state_ag_action,ag_settlement_amount,num_states_involved,ag_case_year,total_regulatory_cost,has_any_regulatory_action,in_hibp,hibp_breach_name,hibp_breach_date,hibp_pwn_count,hibp_description,hibp_data_classes,hibp_date_difference_days,hibp_date_match,has_cyber_insurance_disclosure,num_10k_filings_checked
"Activision Publishing, Inc.",2012-08-09,2012-08-01,8/30/2012,"Data Compromised: Email addresses, encrypted passwords (using Secure Remote Password protocol), answers to personal security questions, and Mobile/Dial-In Authenticator information. No financial information, credit cards, billing addresses, or real names were reported compromised.",,BSO,14000000,ATVI,HACK,718877,7372,541511,activision,5,0,0,1,,,,False,Non-FCC,False,-4.7423,-6.5928,-4.9023,-7.1285,True,9.49697174013148,0.01507865351699405,0.1389681310620262,1075.0,12269.0,8,0,0,32.6688,25.6772,2099911.97,3528680.18,-6.9916,True,0,Massive,0,0,0,0,,0,1,1,0,1,0,0,0,0,0,0,0,6,5,14000000,11,1,2,1,718877,1,11,1.0,0,0,2012,0,0,,0,0,,0,0,0,,0,0,0,,,0,,,,0,0,0
"Activision Publishing, Inc.",2023-02-20,2022-12-02,12/4/2022,"Data Compromised: Full employee names, corporate email addresses, phone numbers, job titles, office locations, work addresses, and salary information. The company maintained that no sensitive employee data, game code, or player data was accessed, though this was disputed by security researchers.",,BSO,20000,ATVI,HACK,718877,7372,541511,activision,5,0,1,3,,,,False,Non-FCC,False,3.5916,1.701,3.541,1.7354,True,10.97121976166015,0.01697892271662764,0.2658860265417642,1782.0,25620.0,80,0,1,19.6373,14.2806,1862474.85,4268645.11,-5.3567,True,1,Medium,1,0,0,0,3775.0,1,0,0,0,0,0,0,0,1,0,0,0,2,3,20000,5,0,1,0,718877,1,9,14.0,0,0,2012,0,0,,0,0,,0,0,0,,0,0,0,,,0,,,,0,0,0
Adobe Systems Incorporated,2013-10-13,2013-10-03,12/1/2013,The Adobe Hack of 2013 led to multiple legal settlements and security improvements over the next several years. The two main resolutions were a class-action settlement in 2015 and a multistate settlement with state attorneys general in 2016. ,,BSO,153000000,ADBE,HACK,796343,7372,541511,adobe,6662,148,350,720,50.88,-1.79,4.82,True,Non-FCC,False,-0.2855,5.9998,-0.3606,6.1534,True,10.04140538253733,0.00811029263184966,0.3321619291322118,995.119,10234.156,10,0,0,31.4833,22.2368,3180178.5,899815.96,-9.2465,True,0,Massive,2,2,2,2,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,153000000,5,0,0,0,796343,0,0,,0,0,2013,0,0,,0,0,,1,0,1,2015.0,0,1,0,,,0,,,,0,0,0
Adobe Systems Incorporated,2019-10-19,2019-10-19,2019-10-19 00:00:00,"Nearly 7.5 million Adobe Creative Cloud user records were left exposed to anyone with a web browser, including email addresses, account information, and which Adobe products they use.",,BSO,7500000,ADBE,HACK,796343,7372,541511,adobe,6662,387,740,1912,265.52,-2.63,6.78,True,Non-FCC,False,-0.1173,8.1728,-0.1999,8.5564,True,11.83471727326836,0.03952968055655282,0.4892628128415627,2834.126,20054.88,0,1,0,22.9121,21.9699,1231221.95,1045472.02,-0.9422,True,1,Massive,3,0,0,0,2207.0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,7500000,5,0,0,0,796343,1,9,54.0,0,0,2013,0,0,,0,0,,1,0,1,2015.0,0,1,0,,,0,,,,0,0,0
Adobe Systems Incorporated,2013-10-02,2013-09-17,2013-09-30 00:00:00,"On October 2, 2013, the Maine Office of the Attorney General reported a data breach involving Adobe Systems Incorp. Details regarding the breach date and number of residents affected are unknown, but the information compromised included names, payment card expiration dates, encrypted payment card numbers, and other information related to customer orders.","{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""names""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""payment card expiration dates"""",""""other info relating to customer orders""""]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[""""encrypted payment card numbers""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,153000000,ADBE,HACK,796343,7372,541511,adobe,6662,148,350,720,48.14,7.08,8.1,True,Non-FCC,False,6.6415,9.0534,6.4545,9.2766,True,10.04140538253733,0.00811029263184966,0.3321619291322118,995.119,10234.156,15,0,0,15.1298,37.2379,805583.9,3139450.15,22.1081,True,0,Massive,1,1,1,1,6.0,1,0,1,0,1,0,1,0,0,0,0,0,9,5,153000000,14,1,3,1,796343,0,0,,0,0,2013,0,0,,0,0,,1,0,1,2015.0,0,1,0,,,0,,,,0,0,0
Adobe Systems Incorporated,2019-10-19,2019-10-19,2019-10-19 00:00:00,An unsecured Elasticsearch database belonging to Adobe Creative Cloud was accessible to anyone without any password or authentication ,,BSO,7500000,ADBE,HACK,796343,7372,541511,adobe,6662,387,740,1912,265.52,-2.63,6.78,True,Non-FCC,False,-0.1173,8.1728,-0.1999,8.5564,True,11.83471727326836,0.03952968055655282,0.4892628128415627,2834.126,20054.88,0,1,0,22.9121,21.9699,1231221.95,1045472.02,-0.9422,True,1,Massive,3,0,0,0,2207.0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,7500000,5,0,0,0,796343,1,9,54.0,0,0,2013,0,0,,0,0,,1,0,1,2015.0,0,1,0,,,0,,,,0,0,0
Adobe Systems Incorporated,2013-10-03,2013-09-11,2013-09-17 00:00:00,"The California Office of the Attorney General reported that Adobe Systems Incorporated experienced a data breach involving unauthorized access to customer order information between September 11 and September 17, 2013. The breach potentially exposed customer names, payment card expiration dates, and encrypted payment card numbers; however, the number of affected individuals is unknown.","{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Customer names""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Payment card expiration dates""""]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Encrypted payment card numbers""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,2900000,ADBE,HACK,796343,7372,541511,adobe,6662,148,350,720,48.2,12.04,9.03,True,Non-FCC,False,7.0757,6.4808,7.0711,6.3812,True,10.04140538253733,0.00811029263184966,0.3321619291322118,995.119,10234.156,22,0,0,14.8171,37.1222,761511.64,3192718.74,22.305,True,0,Massive,0,0,0,0,,0,1,1,0,1,0,1,0,1,0,0,0,11,5,2900000,16,1,4,1,796343,0,0,,0,0,2013,0,0,,0,0,,1,0,1,2015.0,0,1,0,,,0,,,,0,0,0
Altice USA,2024-02-29,2024-02-29,2024-02-29 00:00:00,"The Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving Altice USA on February 29, 2024. The breach affected 10 residents and involved the compromise of Social Security Numbers (SSNs).","{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,383,ATUS,HACK,1702780,4841,517311,,0,0,0,0,2.97,39.04,38.5,True,Cable,True,-15.0058,-30.1227,-14.9106,-28.0796,True,7.301141226887022,-0.00369024611748243,1.013608044903184,2301.612,31923.616,0,1,0,148.7174,68.9553,8312509.56,1548109.56,-79.7621,False,0,Small,0,0,0,0,,0,1,1,0,0,0,1,0,0,0,0,0,6,1,383,7,1,2,1,1702780,1,8,63.0,0,0,2024,0,0,,0,0,,0,0,0,,0,0,0,,,0,,,,0,0,1
Altice USA,2024-03-01,2024-03-01,2024-03-01 00:00:00,"The Texas Attorney General reported on March 1, 2024, that Altice USA experienced a data breach affecting 426 individuals. The breach involved the compromise of names, Social Security numbers, health insurance information, and dates of birth, with notifications sent to consumers via U.S. Mail.","{
  """"Encryption Status"""": """"Unencrypted"""",
  """"Categories Affected"""": {
    """"Personal Identifiers"""": {
      """"Affected"""": """"Yes"""",
      """"Examples"""": [""""Name"""", """"Social Security Number"""", """"Date of Birth""""]
    },
    """"Protected Classification Characteristics"""": {
      """"Affected"""": """"No"""",
      """"Examples"""": []
    },
    """"Commercial Information"""": {
      """"Affected"""": """"No"""",
      """"Examples"""": []
    },
    """"Biometric Information"""": {
      """"Affected"""": """"No"""",
      """"Examples"""": []
    },
    """"Internet or Network Activity"""": {
      """"Affected"""": """"No"""",
      """"Examples"""": []
    },
    """"Geolocation Data"""": {
      """"Affected"""": """"No"""",
      """"Examples"""": []
    },
    """"Sensory Data"""": {
      """"Affected"""": """"No"""",
      """"Examples"""": []
    },
    """"Professional or Employment-Related Information"""": {
      """"Affected"""": """"No"""",
      """"Examples"""": []
    },
    """"Education Information"""": {
      """"Affected"""": """"No"""",
      """"Examples"""": []
    },
    """"Inferences Drawn from Personal Information"""": {
      """"Affected"""": """"No"""",
      """"Examples"""": []
    },
    """"Sensitive Personal Information"""": {
      """"Affected"""": """"Yes"""",
      """"Examples"""": [""""Social Security Number"""", """"Health Insurance Information""""]
    },
    """"Customer Records"""": {
      """"Affected"""": """"No"""",
      """"Examples"""": []
    }
  }
}",BSO,426,ATUS,HACK,1702780,4841,517311,,0,0,0,0,2.98,50.27,36.61,True,Cable,True,-7.4599,-33.657,-8.1521,-30.1977,True,7.301141226887022,-0.00369024611748243,1.013608044903184,2301.612,31923.616,0,1,0,146.0848,70.7453,8159774.35,1497754.76,-75.3395,False,0,Small,1,1,1,1,1.0,1,0,1,0,0,0,1,0,0,0,0,0,6,1,426,7,1,2,1,1702780,1,8,62.0,0,0,2024,0,0,,0,0,,0,0,0,,0,0,0,,,0,,,,0,0,1
"Altice USA, Inc.",2020-02-06,2019-11-04,2020-02-01 00:00:00,"The Indiana Office of the Attorney General reported a data breach involving Altice USA, Inc on February 6, 2020. The breach occurred on November 4, 2019, affecting a total of 52,846 individuals, with 27 residents specifically impacted.","{""""Encryption Status"""":""""UNKN"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Protected Classification Characteristics"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Customer Records"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]}}}",BSO,52846,ATUS,HACK,1702780,4841,517311,,0,0,0,0,31.61,-10.49,-16.71,True,Cable,True,-14.8658,-19.9427,-15.362,-20.4103,True,9.812699619144194,0.00228697001211719,0.9317045182277186,2438.662,33773.508,94,0,1,20.8803,59.8108,1504964.92,10013643.17,38.9305,False,0,Medium,0,0,0,0,,0,1,1,0,0,0,1,0,0,0,0,0,6,3,52846,9,1,2,1,1702780,1,14,0.0,0,0,2019,0,0,,0,0,,0,0,0,,0,0,0,,,0,,,,0,0,1
